month,gridmet_mean,nldas3_mean,gridmet_sd,nldas3_sd
1,0.0,0.0,0.0,0.0
2,0.0022983513200847154,1.1039477170361211e-05,0.006150165853636514,9.036201505643875e-05
3,0.33360075203069633,0.0036750130111210394,0.23541204826600123,0.00954844181433465
4,1.5262548161257425,0.12292360434238189,1.0490589316014498,0.13486440491940074
5,10.470709092240314,7.989241430686417,3.7730452870899542,4.09177436758629
6,21.39102814358195,19.70783669265067,3.6986422183815875,4.1400008418044765
7,27.879526056418495,27.72841605107742,1.952635007641968,1.7370026295940388
8,25.335609606030406,26.339684240190238,2.7662775723624895,1.605593939351606
9,18.30511457849574,20.569729663404047,3.428477842271201,2.362273793666885
10,4.7282800034685275,6.6885835974400125,2.38822826327186,2.47831656953616
11,0.10305358888821378,0.4530541198302813,0.08274061281336637,0.22593230719814586
12,0.0,0.0,0.0,0.0
