month,gridmet_mean,nldas3_mean,gridmet_sd,nldas3_sd
1,15.094608778972225,11.001722998819622,3.232259269843801,2.676205375444431
2,7.385560562753674,5.220443255947712,2.6745448654645734,2.1395521216378413
3,3.176972882049943,2.2334751966006925,1.6185329645595876,1.1204474839150427
4,0.2789804476956759,0.27729021411463345,0.30090310484300636,0.2789503066054659
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.3390348321187711,0.09892443460734233,0.22203256492716564,0.11729806757075407
11,5.981146432860936,3.0106778825426406,2.3374483529516086,1.6773439092560707
12,11.070451999956951,7.296698994546958,2.835743439995401,2.2195009193047204
