month,gridmet_mean,nldas3_mean,gridmet_sd,nldas3_sd
1,0.0,0.0,0.0,0.0
2,0.006317461130590762,2.920770775689618e-05,0.01744615913507347,0.00023907539164795064
3,0.6160670537592784,0.009723170548333816,0.4425187291315238,0.025262802339126887
4,1.7663298585724951,0.24780441346874338,0.9921811989446532,0.2493692845479064
5,4.522530063167021,4.006325027936856,0.6209343743820389,1.2528600715064135
6,4.661952160331575,5.496828484768205,0.77495471037623,0.7321305850319855
7,2.797076554710506,3.114981741972291,1.031513280595282,1.0064590907658864
8,3.502870182940287,2.5670012591519535,0.9517263113033959,0.4022781428408126
9,6.617162764226543,6.079683591291059,0.9666602042455453,1.4389256299446689
10,3.3124702689668815,4.686856605624677,0.7901798593243455,0.8481264976597147
11,0.27819698474565363,0.7858823469324853,0.19522639833535035,0.328248621225539
12,0.0,0.0,0.0,0.0
