month,gridmet_mean,nldas3_mean,gridmet_sd,nldas3_sd
1,28.329772363247347,30.459469362261466,5.493860776054848,5.667605773912602
2,32.73594980338235,35.04346005844226,7.787815159732082,6.115840219395461
3,36.304106102228246,35.37777631015816,5.09232595613187,5.040107688040418
4,38.36925693396779,32.11289526542397,4.551471477003303,5.031795114118851
5,36.59246092847461,38.38037475652019,4.384630676889129,2.4639632309349553
6,23.56445701867191,30.212917160788642,1.5478019905326172,3.8864607800040525
7,16.981878643150242,23.16668261153829,2.622075259053718,4.447228004068951
8,21.2893778328973,29.75991634080501,2.668260064048191,5.895638141324927
9,41.239717706418794,51.73305598904449,5.210651392058634,6.250810802697555
10,33.86183888420542,37.403579456467526,2.6966234437829826,3.5753127005552825
11,39.62160515777794,43.34093387607196,4.465302834562258,3.343943879176421
12,30.421889470990465,34.586472919423926,4.763672010118517,5.290623140317235
