month,gridmet_mean,nldas3_mean,gridmet_sd,nldas3_sd
1,4.729259189881625,4.982545180406407,0.43695518254806764,0.5342318057281857
2,4.302218369337143,3.244618683804976,0.5349917420283683,0.6557687357812638
3,1.880648289331821,1.6062834107390362,0.5664139808985751,0.5095793826816403
4,0.5693225767491065,0.42645347954247076,0.5071204150627069,0.3729805944120417
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.6657706227238023,0.18402419333457504,0.33379128682680803,0.20931805432630401
11,2.3275246831755,1.7931371716317726,0.5518942868561864,0.5672348524812468
12,3.3614793531343286,2.9674055573037994,0.3343411174398838,0.3175636560423206
